Augustine,Dell,4,611,Mac,intel,1991
Ronnette,Acer,4,476,Windows,intel,1990
Jenelle,Samsung,32,10645,Mac,AMD,1988
Jenelle,Acer,32,2530,Windows,intel,1992
Aniya,Samsung,4,1906,Windows,intel,2015
Ronnette,Asus,64,8989,Windows,AMD,2013
Arline,Samsung,64,662,Windows,intel,2003
Isidora,Asus,4,6165,Windows,AMD,1982
Ronnette,Asus,64,7914,Mac,intel,1998
Florence,Lenovo,64,3676,Windows,AMD,1992
Augustine,Dell,16,10413,Windows,AMD,2016
Arline,HP,8,8433,Windows,AMD,1982
Frederick,Dell,32,7337,Windows,intel,1989
Stacey,Asus,64,4147,Mac,AMD,1986
Ronnette,Lenovo,16,3467,Windows,AMD,1992
Arline,Asus,16,4929,Mac,AMD,1985
Arline,Microsoft,64,4895,Mac,AMD,2012
Frederick,HP,32,8170,Mac,AMD,2001
Augustine,Acer,4,730,Windows,intel,1995
Isidora,Dell,64,6695,Mac,intel,2001
Stacey,Microsoft,64,11801,Windows,intel,1999
Ronnette,Apple,32,7927,Windows,AMD,1998
Jenelle,Dell,16,8005,Windows,AMD,1994
Isidora,Apple,64,4450,Mac,AMD,2010
Ronnette,Dell,4,4387,Windows,intel,2012
Arline,Microsoft,32,3863,Windows,intel,1982
Stacey,Lenovo,4,9600,Mac,intel,1987
Aniya,Samsung,64,10873,Windows,AMD,2017
Frederick,Acer,32,5807,Windows,intel,2016
Frederick,Asus,64,11800,Windows,AMD,2018
Augustine,Samsung,32,10377,Mac,intel,1991
Isidora,Asus,32,2426,Mac,intel,2019
Florence,Microsoft,32,3061,Windows,intel,1986
Frederick,HP,32,4057,Mac,AMD,2015
Arline,Microsoft,64,11581,Windows,intel,2011
Stacey,Microsoft,32,10015,Windows,AMD,1987
Stacey,Apple,16,5283,Windows,intel,2006
Arline,Dell,4,6807,Mac,AMD,1994
Florence,Samsung,8,11341,Mac,intel,1984
Frederick,Apple,16,9153,Mac,intel,2017
Aniya,Lenovo,4,2196,Windows,intel,2003
Florence,Acer,32,951,Windows,AMD,1984
Jenelle,Samsung,4,8513,Windows,AMD,2009
Stacey,Acer,4,10515,Mac,AMD,2004
Arline,HP,32,9887,Mac,intel,1988
Aniya,HP,64,5643,Windows,intel,2009
Isidora,Samsung,16,4094,Windows,AMD,1994
Isidora,Lenovo,4,3775,Mac,intel,2003
Ronnette,Dell,64,10117,Windows,AMD,1982
Frederick,Acer,32,1051,Windows,intel,2019
Augustine,Lenovo,8,8957,Mac,AMD,2008
Isidora,Dell,32,4862,Mac,intel,1998
Augustine,Dell,8,3882,Windows,intel,2000
Augustine,Acer,64,2356,Windows,intel,2015
Aniya,Lenovo,4,2140,Windows,intel,1999
Aniya,Microsoft,8,4191,Mac,AMD,2014
Ronnette,HP,64,1451,Windows,AMD,1996
Ronnette,Dell,32,7596,Mac,AMD,1992
Augustine,HP,32,1739,Mac,intel,1998
Florence,HP,64,5139,Windows,intel,1996
Ronnette,Lenovo,4,2790,Mac,AMD,1995
Frederick,Dell,64,6981,Mac,AMD,1987
Aniya,Acer,16,10562,Mac,AMD,1994
Isidora,Dell,32,7863,Mac,AMD,2003
Stacey,Samsung,8,8485,Mac,intel,2004
Stacey,Asus,16,8542,Mac,AMD,1992
Florence,Lenovo,8,813,Mac,intel,1998
Frederick,Asus,32,1178,Mac,AMD,2008
Isidora,HP,32,5528,Windows,AMD,2005
Arline,Microsoft,16,266,Mac,AMD,2002
Ronnette,Samsung,4,5639,Mac,AMD,2002
Florence,HP,64,4694,Windows,intel,1993
Aniya,Microsoft,8,9006,Mac,intel,2007
Isidora,Samsung,64,11562,Mac,AMD,1990
Arline,Microsoft,32,11743,Windows,AMD,1989
Jenelle,Lenovo,32,2702,Mac,intel,2014
Stacey,Microsoft,32,6521,Windows,intel,1987
Isidora,Asus,16,4684,Windows,intel,2008
Arline,Microsoft,8,11169,Mac,intel,1997
