Point,X/Y,Closest Centroid,Distance From Centroid
1,"[55, 2]","[59.714287, 5.142857]",7
2,"[0, 60]","[33.0, 73.78481]",46
3,"[51, 30]","[39.384617, 35.615383]",17
4,"[13, 0]","[19.88889, 8.888889]",15
5,"[49, 11]","[59.714287, 5.142857]",16
6,"[23, 43]","[39.384617, 35.615383]",23
7,"[9, 19]","[19.88889, 8.888889]",21
8,"[70, 26]","[81.56061, 39.575756]",25
9,"[89, 34]","[81.56061, 39.575756]",13
10,"[49, 24]","[39.384617, 35.615383]",21
11,"[49, 11]","[59.714287, 5.142857]",16
12,"[21, 41]","[39.384617, 35.615383]",23
13,"[23, 43]","[39.384617, 35.615383]",23
14,"[91, 99]","[81.56061, 39.575756]",68
15,"[43, 54]","[39.384617, 35.615383]",22
16,"[13, 0]","[19.88889, 8.888889]",15
17,"[45, 55]","[39.384617, 35.615383]",25
18,"[17, 54]","[33.0, 73.78481]",35
19,"[60, 91]","[33.0, 73.78481]",44
20,"[89, 34]","[81.56061, 39.575756]",13
21,"[17, 76]","[33.0, 73.78481]",18
22,"[49, 24]","[39.384617, 35.615383]",21
23,"[96, 75]","[81.56061, 39.575756]",49
24,"[91, 54]","[81.56061, 39.575756]",23
25,"[32, 55]","[33.0, 73.78481]",19
26,"[51, 91]","[33.0, 73.78481]",35
27,"[23, 43]","[39.384617, 35.615383]",23
28,"[36, 99]","[33.0, 73.78481]",28
29,"[55, 85]","[33.0, 73.78481]",33
30,"[51, 91]","[33.0, 73.78481]",35
31,"[96, 75]","[81.56061, 39.575756]",49
32,"[6, 88]","[33.0, 73.78481]",41
33,"[70, 39]","[81.56061, 39.575756]",12
34,"[89, 34]","[81.56061, 39.575756]",13
35,"[77, 83]","[81.56061, 39.575756]",47
36,"[17, 76]","[33.0, 73.78481]",18
37,"[13, 0]","[19.88889, 8.888889]",15
38,"[49, 11]","[59.714287, 5.142857]",16
39,"[49, 11]","[59.714287, 5.142857]",16
40,"[43, 38]","[39.384617, 35.615383]",6
41,"[36, 99]","[33.0, 73.78481]",28
42,"[91, 54]","[81.56061, 39.575756]",23
43,"[23, 43]","[39.384617, 35.615383]",23
44,"[66, 24]","[59.714287, 5.142857]",25
45,"[23, 43]","[39.384617, 35.615383]",23
46,"[45, 55]","[39.384617, 35.615383]",25
47,"[79, 16]","[81.56061, 39.575756]",26
48,"[17, 76]","[33.0, 73.78481]",18
49,"[13, 0]","[19.88889, 8.888889]",15
50,"[60, 91]","[33.0, 73.78481]",44
51,"[28, 44]","[39.384617, 35.615383]",19
52,"[72, 61]","[81.56061, 39.575756]",30
53,"[87, 86]","[81.56061, 39.575756]",51
54,"[43, 38]","[39.384617, 35.615383]",6
55,"[28, 44]","[39.384617, 35.615383]",19
56,"[55, 94]","[33.0, 73.78481]",42
57,"[38, 15]","[39.384617, 35.615383]",22
58,"[49, 24]","[39.384617, 35.615383]",21
59,"[34, 39]","[39.384617, 35.615383]",8
60,"[23, 32]","[39.384617, 35.615383]",20
61,"[34, 39]","[39.384617, 35.615383]",8
62,"[9, 19]","[19.88889, 8.888889]",21
63,"[49, 11]","[59.714287, 5.142857]",16
64,"[51, 91]","[33.0, 73.78481]",35
65,"[0, 60]","[33.0, 73.78481]",46
66,"[43, 54]","[39.384617, 35.615383]",22
67,"[66, 24]","[59.714287, 5.142857]",25
68,"[0, 60]","[33.0, 73.78481]",46
69,"[17, 76]","[33.0, 73.78481]",18
70,"[6, 88]","[33.0, 73.78481]",41
71,"[77, 83]","[81.56061, 39.575756]",47
72,"[9, 77]","[33.0, 73.78481]",27
73,"[96, 75]","[81.56061, 39.575756]",49
74,"[45, 55]","[39.384617, 35.615383]",25
75,"[70, 39]","[81.56061, 39.575756]",12
76,"[51, 91]","[33.0, 73.78481]",35
77,"[34, 69]","[33.0, 73.78481]",5
78,"[38, 15]","[39.384617, 35.615383]",22
79,"[34, 48]","[39.384617, 35.615383]",17
80,"[36, 99]","[33.0, 73.78481]",28
81,"[70, 29]","[81.56061, 39.575756]",22
82,"[9, 19]","[19.88889, 8.888889]",21
83,"[21, 41]","[39.384617, 35.615383]",23
84,"[23, 43]","[39.384617, 35.615383]",23
85,"[36, 99]","[33.0, 73.78481]",28
86,"[79, 16]","[81.56061, 39.575756]",26
87,"[72, 52]","[81.56061, 39.575756]",21
88,"[70, 29]","[81.56061, 39.575756]",22
89,"[72, 61]","[81.56061, 39.575756]",30
90,"[66, 24]","[59.714287, 5.142857]",25
91,"[34, 69]","[33.0, 73.78481]",5
92,"[91, 54]","[81.56061, 39.575756]",23
93,"[72, 61]","[81.56061, 39.575756]",30
94,"[38, 15]","[39.384617, 35.615383]",22
95,"[94, 33]","[81.56061, 39.575756]",19
96,"[55, 94]","[33.0, 73.78481]",42
97,"[17, 54]","[33.0, 73.78481]",35
98,"[55, 2]","[59.714287, 5.142857]",7
99,"[32, 55]","[33.0, 73.78481]",19
100,"[13, 0]","[19.88889, 8.888889]",15
101,"[55, 85]","[33.0, 73.78481]",33
102,"[2, 58]","[33.0, 73.78481]",46
103,"[94, 33]","[81.56061, 39.575756]",19
104,"[34, 48]","[39.384617, 35.615383]",17
105,"[70, 26]","[81.56061, 39.575756]",25
106,"[96, 75]","[81.56061, 39.575756]",49
107,"[23, 32]","[39.384617, 35.615383]",20
108,"[43, 54]","[39.384617, 35.615383]",22
109,"[55, 2]","[59.714287, 5.142857]",7
110,"[17, 76]","[33.0, 73.78481]",18
111,"[51, 91]","[33.0, 73.78481]",35
112,"[55, 85]","[33.0, 73.78481]",33
113,"[91, 99]","[81.56061, 39.575756]",68
114,"[68, 64]","[81.56061, 39.575756]",37
115,"[55, 85]","[33.0, 73.78481]",33
116,"[55, 85]","[33.0, 73.78481]",33
117,"[6, 88]","[33.0, 73.78481]",41
118,"[34, 48]","[39.384617, 35.615383]",17
119,"[34, 69]","[33.0, 73.78481]",5
120,"[91, 54]","[81.56061, 39.575756]",23
121,"[45, 55]","[39.384617, 35.615383]",25
122,"[6, 88]","[33.0, 73.78481]",41
123,"[17, 76]","[33.0, 73.78481]",18
124,"[38, 15]","[39.384617, 35.615383]",22
125,"[23, 32]","[39.384617, 35.615383]",20
126,"[70, 29]","[81.56061, 39.575756]",22
127,"[34, 48]","[39.384617, 35.615383]",17
128,"[72, 61]","[81.56061, 39.575756]",30
129,"[34, 48]","[39.384617, 35.615383]",17
130,"[70, 26]","[81.56061, 39.575756]",25
131,"[72, 61]","[81.56061, 39.575756]",30
132,"[9, 77]","[33.0, 73.78481]",27
133,"[60, 91]","[33.0, 73.78481]",44
134,"[49, 24]","[39.384617, 35.615383]",21
135,"[87, 86]","[81.56061, 39.575756]",51
136,"[13, 75]","[33.0, 73.78481]",21
137,"[49, 11]","[59.714287, 5.142857]",16
138,"[13, 0]","[19.88889, 8.888889]",15
139,"[19, 39]","[39.384617, 35.615383]",23
140,"[43, 54]","[39.384617, 35.615383]",22
141,"[23, 32]","[39.384617, 35.615383]",20
142,"[13, 75]","[33.0, 73.78481]",21
143,"[38, 15]","[39.384617, 35.615383]",22
144,"[87, 86]","[81.56061, 39.575756]",51
145,"[68, 64]","[81.56061, 39.575756]",37
146,"[34, 48]","[39.384617, 35.615383]",17
147,"[13, 0]","[19.88889, 8.888889]",15
148,"[32, 62]","[33.0, 73.78481]",12
149,"[70, 26]","[81.56061, 39.575756]",25
150,"[2, 58]","[33.0, 73.78481]",46
151,"[13, 75]","[33.0, 73.78481]",21
152,"[60, 91]","[33.0, 73.78481]",44
153,"[70, 26]","[81.56061, 39.575756]",25
154,"[91, 99]","[81.56061, 39.575756]",68
155,"[66, 24]","[59.714287, 5.142857]",25
156,"[49, 11]","[59.714287, 5.142857]",16
157,"[70, 26]","[81.56061, 39.575756]",25
158,"[2, 58]","[33.0, 73.78481]",46
159,"[32, 55]","[33.0, 73.78481]",19
160,"[6, 88]","[33.0, 73.78481]",41
161,"[13, 75]","[33.0, 73.78481]",21
162,"[91, 54]","[81.56061, 39.575756]",23
163,"[34, 48]","[39.384617, 35.615383]",17
164,"[60, 91]","[33.0, 73.78481]",44
165,"[17, 54]","[33.0, 73.78481]",35
166,"[19, 39]","[39.384617, 35.615383]",23
167,"[36, 99]","[33.0, 73.78481]",28
168,"[94, 33]","[81.56061, 39.575756]",19
169,"[70, 29]","[81.56061, 39.575756]",22
170,"[70, 26]","[81.56061, 39.575756]",25
171,"[13, 0]","[19.88889, 8.888889]",15
172,"[23, 43]","[39.384617, 35.615383]",23
173,"[0, 60]","[33.0, 73.78481]",46
174,"[21, 41]","[39.384617, 35.615383]",23
175,"[68, 94]","[33.0, 73.78481]",55
176,"[23, 43]","[39.384617, 35.615383]",23
177,"[91, 99]","[81.56061, 39.575756]",68
178,"[66, 24]","[59.714287, 5.142857]",25
179,"[89, 34]","[81.56061, 39.575756]",13
180,"[32, 55]","[33.0, 73.78481]",19
181,"[6, 88]","[33.0, 73.78481]",41
182,"[89, 34]","[81.56061, 39.575756]",13
183,"[32, 62]","[33.0, 73.78481]",12
184,"[13, 75]","[33.0, 73.78481]",21
185,"[19, 39]","[39.384617, 35.615383]",23
186,"[32, 62]","[33.0, 73.78481]",12
187,"[66, 24]","[59.714287, 5.142857]",25
188,"[21, 41]","[39.384617, 35.615383]",23
189,"[70, 39]","[81.56061, 39.575756]",12
190,"[79, 16]","[81.56061, 39.575756]",26
191,"[66, 24]","[59.714287, 5.142857]",25
192,"[36, 99]","[33.0, 73.78481]",28
193,"[32, 55]","[33.0, 73.78481]",19
194,"[43, 54]","[39.384617, 35.615383]",22
195,"[55, 85]","[33.0, 73.78481]",33
196,"[77, 83]","[81.56061, 39.575756]",47
197,"[96, 75]","[81.56061, 39.575756]",49
198,"[32, 62]","[33.0, 73.78481]",12
199,"[72, 52]","[81.56061, 39.575756]",21
200,"[55, 2]","[59.714287, 5.142857]",7
