Point,X/Y,Closest Centroid,Distance From Centroid
1,"[55, 2]","[74.48572, 14.142858]",31
2,"[0, 60]","[32.561405, 39.210526]",53
3,"[51, 30]","[32.561405, 39.210526]",27
4,"[13, 0]","[13.142858, 7.714286]",7
5,"[49, 11]","[74.48572, 14.142858]",28
6,"[23, 43]","[32.561405, 39.210526]",13
7,"[9, 19]","[13.142858, 7.714286]",15
8,"[70, 26]","[74.48572, 14.142858]",16
9,"[89, 34]","[83.268295, 58.26829]",29
10,"[49, 24]","[32.561405, 39.210526]",31
11,"[49, 11]","[74.48572, 14.142858]",28
12,"[21, 41]","[32.561405, 39.210526]",13
13,"[23, 43]","[32.561405, 39.210526]",13
14,"[91, 99]","[83.268295, 58.26829]",48
15,"[43, 54]","[32.561405, 39.210526]",25
16,"[13, 0]","[13.142858, 7.714286]",7
17,"[45, 55]","[32.561405, 39.210526]",28
18,"[17, 54]","[32.561405, 39.210526]",30
19,"[60, 91]","[35.9, 79.55]",35
20,"[89, 34]","[83.268295, 58.26829]",29
21,"[17, 76]","[35.9, 79.55]",22
22,"[49, 24]","[32.561405, 39.210526]",31
23,"[96, 75]","[83.268295, 58.26829]",29
24,"[91, 54]","[83.268295, 58.26829]",11
25,"[32, 55]","[32.561405, 39.210526]",16
26,"[51, 91]","[35.9, 79.55]",26
27,"[23, 43]","[32.561405, 39.210526]",13
28,"[36, 99]","[35.9, 79.55]",19
29,"[55, 85]","[35.9, 79.55]",24
30,"[51, 91]","[35.9, 79.55]",26
31,"[96, 75]","[83.268295, 58.26829]",29
32,"[6, 88]","[35.9, 79.55]",38
33,"[70, 39]","[74.48572, 14.142858]",29
34,"[89, 34]","[83.268295, 58.26829]",29
35,"[77, 83]","[83.268295, 58.26829]",31
36,"[17, 76]","[35.9, 79.55]",22
37,"[13, 0]","[13.142858, 7.714286]",7
38,"[49, 11]","[74.48572, 14.142858]",28
39,"[49, 11]","[74.48572, 14.142858]",28
40,"[43, 38]","[32.561405, 39.210526]",11
41,"[36, 99]","[35.9, 79.55]",19
42,"[91, 54]","[83.268295, 58.26829]",11
43,"[23, 43]","[32.561405, 39.210526]",13
44,"[66, 24]","[74.48572, 14.142858]",18
45,"[23, 43]","[32.561405, 39.210526]",13
46,"[45, 55]","[32.561405, 39.210526]",28
47,"[79, 16]","[74.48572, 14.142858]",6
48,"[17, 76]","[35.9, 79.55]",22
49,"[13, 0]","[13.142858, 7.714286]",7
50,"[60, 91]","[35.9, 79.55]",35
51,"[28, 44]","[32.561405, 39.210526]",9
52,"[72, 61]","[83.268295, 58.26829]",14
53,"[87, 86]","[83.268295, 58.26829]",31
54,"[43, 38]","[32.561405, 39.210526]",11
55,"[28, 44]","[32.561405, 39.210526]",9
56,"[55, 94]","[35.9, 79.55]",33
57,"[38, 15]","[32.561405, 39.210526]",29
58,"[49, 24]","[32.561405, 39.210526]",31
59,"[34, 39]","[32.561405, 39.210526]",1
60,"[23, 32]","[32.561405, 39.210526]",16
61,"[34, 39]","[32.561405, 39.210526]",1
62,"[9, 19]","[13.142858, 7.714286]",15
63,"[49, 11]","[74.48572, 14.142858]",28
64,"[51, 91]","[35.9, 79.55]",26
65,"[0, 60]","[32.561405, 39.210526]",53
66,"[43, 54]","[32.561405, 39.210526]",25
67,"[66, 24]","[74.48572, 14.142858]",18
68,"[0, 60]","[32.561405, 39.210526]",53
69,"[17, 76]","[35.9, 79.55]",22
70,"[6, 88]","[35.9, 79.55]",38
71,"[77, 83]","[83.268295, 58.26829]",31
72,"[9, 77]","[35.9, 79.55]",29
73,"[96, 75]","[83.268295, 58.26829]",29
74,"[45, 55]","[32.561405, 39.210526]",28
75,"[70, 39]","[74.48572, 14.142858]",29
76,"[51, 91]","[35.9, 79.55]",26
77,"[34, 69]","[35.9, 79.55]",12
78,"[38, 15]","[32.561405, 39.210526]",29
79,"[34, 48]","[32.561405, 39.210526]",10
80,"[36, 99]","[35.9, 79.55]",19
81,"[70, 29]","[74.48572, 14.142858]",19
82,"[9, 19]","[13.142858, 7.714286]",15
83,"[21, 41]","[32.561405, 39.210526]",13
84,"[23, 43]","[32.561405, 39.210526]",13
85,"[36, 99]","[35.9, 79.55]",19
86,"[79, 16]","[74.48572, 14.142858]",6
87,"[72, 52]","[83.268295, 58.26829]",17
88,"[70, 29]","[74.48572, 14.142858]",19
89,"[72, 61]","[83.268295, 58.26829]",14
90,"[66, 24]","[74.48572, 14.142858]",18
91,"[34, 69]","[35.9, 79.55]",12
92,"[91, 54]","[83.268295, 58.26829]",11
93,"[72, 61]","[83.268295, 58.26829]",14
94,"[38, 15]","[32.561405, 39.210526]",29
95,"[94, 33]","[83.268295, 58.26829]",35
96,"[55, 94]","[35.9, 79.55]",33
97,"[17, 54]","[32.561405, 39.210526]",30
98,"[55, 2]","[74.48572, 14.142858]",31
99,"[32, 55]","[32.561405, 39.210526]",16
100,"[13, 0]","[13.142858, 7.714286]",7
101,"[55, 85]","[35.9, 79.55]",24
102,"[2, 58]","[32.561405, 39.210526]",49
103,"[94, 33]","[83.268295, 58.26829]",35
104,"[34, 48]","[32.561405, 39.210526]",10
105,"[70, 26]","[74.48572, 14.142858]",16
106,"[96, 75]","[83.268295, 58.26829]",29
107,"[23, 32]","[32.561405, 39.210526]",16
108,"[43, 54]","[32.561405, 39.210526]",25
109,"[55, 2]","[74.48572, 14.142858]",31
110,"[17, 76]","[35.9, 79.55]",22
111,"[51, 91]","[35.9, 79.55]",26
112,"[55, 85]","[35.9, 79.55]",24
113,"[91, 99]","[83.268295, 58.26829]",48
114,"[68, 64]","[83.268295, 58.26829]",21
115,"[55, 85]","[35.9, 79.55]",24
116,"[55, 85]","[35.9, 79.55]",24
117,"[6, 88]","[35.9, 79.55]",38
118,"[34, 48]","[32.561405, 39.210526]",10
119,"[34, 69]","[35.9, 79.55]",12
120,"[91, 54]","[83.268295, 58.26829]",11
121,"[45, 55]","[32.561405, 39.210526]",28
122,"[6, 88]","[35.9, 79.55]",38
123,"[17, 76]","[35.9, 79.55]",22
124,"[38, 15]","[32.561405, 39.210526]",29
125,"[23, 32]","[32.561405, 39.210526]",16
126,"[70, 29]","[74.48572, 14.142858]",19
127,"[34, 48]","[32.561405, 39.210526]",10
128,"[72, 61]","[83.268295, 58.26829]",14
129,"[34, 48]","[32.561405, 39.210526]",10
130,"[70, 26]","[74.48572, 14.142858]",16
131,"[72, 61]","[83.268295, 58.26829]",14
132,"[9, 77]","[35.9, 79.55]",29
133,"[60, 91]","[35.9, 79.55]",35
134,"[49, 24]","[32.561405, 39.210526]",31
135,"[87, 86]","[83.268295, 58.26829]",31
136,"[13, 75]","[35.9, 79.55]",27
137,"[49, 11]","[74.48572, 14.142858]",28
138,"[13, 0]","[13.142858, 7.714286]",7
139,"[19, 39]","[32.561405, 39.210526]",13
140,"[43, 54]","[32.561405, 39.210526]",25
141,"[23, 32]","[32.561405, 39.210526]",16
142,"[13, 75]","[35.9, 79.55]",27
143,"[38, 15]","[32.561405, 39.210526]",29
144,"[87, 86]","[83.268295, 58.26829]",31
145,"[68, 64]","[83.268295, 58.26829]",21
146,"[34, 48]","[32.561405, 39.210526]",10
147,"[13, 0]","[13.142858, 7.714286]",7
148,"[32, 62]","[35.9, 79.55]",21
149,"[70, 26]","[74.48572, 14.142858]",16
150,"[2, 58]","[32.561405, 39.210526]",49
151,"[13, 75]","[35.9, 79.55]",27
152,"[60, 91]","[35.9, 79.55]",35
153,"[70, 26]","[74.48572, 14.142858]",16
154,"[91, 99]","[83.268295, 58.26829]",48
155,"[66, 24]","[74.48572, 14.142858]",18
156,"[49, 11]","[74.48572, 14.142858]",28
157,"[70, 26]","[74.48572, 14.142858]",16
158,"[2, 58]","[32.561405, 39.210526]",49
159,"[32, 55]","[32.561405, 39.210526]",16
160,"[6, 88]","[35.9, 79.55]",38
161,"[13, 75]","[35.9, 79.55]",27
162,"[91, 54]","[83.268295, 58.26829]",11
163,"[34, 48]","[32.561405, 39.210526]",10
164,"[60, 91]","[35.9, 79.55]",35
165,"[17, 54]","[32.561405, 39.210526]",30
166,"[19, 39]","[32.561405, 39.210526]",13
167,"[36, 99]","[35.9, 79.55]",19
168,"[94, 33]","[83.268295, 58.26829]",35
169,"[70, 29]","[74.48572, 14.142858]",19
170,"[70, 26]","[74.48572, 14.142858]",16
171,"[13, 0]","[13.142858, 7.714286]",7
172,"[23, 43]","[32.561405, 39.210526]",13
173,"[0, 60]","[32.561405, 39.210526]",53
174,"[21, 41]","[32.561405, 39.210526]",13
175,"[68, 94]","[35.9, 79.55]",46
176,"[23, 43]","[32.561405, 39.210526]",13
177,"[91, 99]","[83.268295, 58.26829]",48
178,"[66, 24]","[74.48572, 14.142858]",18
179,"[89, 34]","[83.268295, 58.26829]",29
180,"[32, 55]","[32.561405, 39.210526]",16
181,"[6, 88]","[35.9, 79.55]",38
182,"[89, 34]","[83.268295, 58.26829]",29
183,"[32, 62]","[35.9, 79.55]",21
184,"[13, 75]","[35.9, 79.55]",27
185,"[19, 39]","[32.561405, 39.210526]",13
186,"[32, 62]","[35.9, 79.55]",21
187,"[66, 24]","[74.48572, 14.142858]",18
188,"[21, 41]","[32.561405, 39.210526]",13
189,"[70, 39]","[74.48572, 14.142858]",29
190,"[79, 16]","[74.48572, 14.142858]",6
191,"[66, 24]","[74.48572, 14.142858]",18
192,"[36, 99]","[35.9, 79.55]",19
193,"[32, 55]","[32.561405, 39.210526]",16
194,"[43, 54]","[32.561405, 39.210526]",25
195,"[55, 85]","[35.9, 79.55]",24
196,"[77, 83]","[83.268295, 58.26829]",31
197,"[96, 75]","[83.268295, 58.26829]",29
198,"[32, 62]","[35.9, 79.55]",21
199,"[72, 52]","[83.268295, 58.26829]",17
200,"[55, 2]","[74.48572, 14.142858]",31
